 Seq   MD      CL        INC      AZI      TVD      VS       NS       EW      CD     CA    DLS
  #      m        m         deg      deg       m         m        m         m       m     deg   deg/30m
   1     0.00   0.00     0.00    0.00    0.00    0.00     0.00     0.00    0.00    0.00   0.00 
   2    29.64  29.64     0.06  255.20   29.64   -0.02     0.00    -0.02    0.02  255.20   0.06 
   3    57.79  28.15     0.09  258.12   57.79   -0.05    -0.01    -0.05    0.05  256.23   0.03 
   4    85.00  27.21     0.62   57.37   85.00   -0.07     0.10    -0.10    0.14  315.57   0.78 
   5    94.31   9.31     0.94   59.94   94.31    0.05     0.16     0.01    0.16    4.25   1.04 
   6   103.61   9.30     1.26   62.50  103.61    0.23     0.25     0.17    0.30   34.02   1.04 
   7   112.74   9.13     1.58   65.02  112.73    0.45     0.35     0.37    0.51   46.72   1.07 
   8   122.07   9.33     2.66   66.00  122.06    0.79     0.49     0.69    0.84   54.29   3.47 
   9   131.14   9.07     3.71   66.95  131.11    1.29     0.69     1.15    1.34   58.84   3.48 
  10   140.32   9.18     4.78   67.92  140.27    1.96     0.95     1.78    2.02   61.73   3.50 
  11   149.55   9.23     5.86   67.48  149.46    2.81     1.28     2.57    2.87   63.50   3.51 
  12   158.61   9.06     6.92   67.04  158.46    3.81     1.67     3.50    3.87   64.48   3.51 
  13   167.87   9.26     8.00   66.60  167.64    5.00     2.14     4.60    5.08   65.04   3.50 
  14   177.40   9.53     9.15   69.23  177.07    6.41     2.68     5.92    6.50   65.66   3.82 
  15   187.00   9.60    10.32   71.88  186.53    8.02     3.22     7.45    8.11   66.64   3.91 
  16   196.51   9.51    11.47   74.51  195.87    9.82     3.74     9.17    9.90   67.83   3.95 
  17   205.96   9.45    12.72   74.67  205.11   11.80     4.26    11.08   11.87   68.95   3.97 
  18   215.62   9.66    13.99   74.84  214.51   14.03     4.85    13.23   14.09   69.87   3.95 
  19   225.18   9.56    15.25   75.00  223.76   16.44     5.48    15.56   16.50   70.61   3.96 
  20   234.62   9.44    16.50   75.36  232.84   19.03     6.14    18.06   19.07   71.23   3.98 
